,success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,trial_id,trial_duration,view_history,exp_stage,stimulus_duration,block_num,correct_response,condition,choices,correct_trial,ITIParams,current_question,current_key_answer,exp_id,attention_check_percent
0,True,fullscreen,0,2078,0.0-0.0,,,,,,,,,,,,,,,,,,
1,,html-keyboard-response,1,2355,0.0-1.0-0.0,274.0,"<div class = centerbox><p class = center-block-text>
    
  <p class=""center-block-text"">
    Welcome! This experiment will take around 10 minutes.
  </p>
  <p class=""center-block-text"">
    To avoid technical issues, please keep the experiment tab (on Chrome or Firefox) active and in fullscreen mode for the whole duration of each task.
  </p>
  <p class=""center-block-text""> Press <i>enter</i> to begin.</p>

    </p></div>",enter,instruction_feedback,180000.0,,,,,,,,,,,,,
2,,instructions,2,6121,0.0-1.0-1.0,3764.0,,,instructions,,"[{'page_index': 0, 'viewing_time': 3764}]",,,,,,,,,,,,
3,,html-keyboard-response,3,7224,0.0-2.0-0.0,1101.0,"<div class = bigbox><div class = picture_box><p class = block-text>
    <div class = centerbox><p class = center-block-text>Press <i>enter</i> to begin practice.</p></div>
    </font></p></div></div>",enter,practice_feedback,60000.0,,practice,,,,,,,,,,,
4,,html-keyboard-response,4,7727,0.0-2.0-1.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_fixation,500.0,,practice,500.0,0.0,,,,,,,,,
5,,html-keyboard-response,5,9234,0.0-2.0-2.0,,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><div id = stim2></div></div></div></div></div>,,practice_trial,1500.0,,practice,1000.0,0.0,,nogo,"[',']",1,,,,,
6,,html-keyboard-response,6,9738,0.0-2.0-3.0,,<div class = center-box><div class = center-text>Correct!</div></div>,,practice_feedback,500.0,,,,,,,,,,,,,
7,,html-keyboard-response,7,9999,0.0-2.0-4.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_ITI,257.8950542767187,,practice,257.8950542767187,0.0,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
8,,html-keyboard-response,8,10502,0.0-2.0-5.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_fixation,500.0,,practice,500.0,0.0,,,,,,,,,
9,,html-keyboard-response,9,12007,0.0-2.0-6.0,379.0,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><div  id = stim1></div></div></div></div></div>,",",practice_trial,1500.0,,practice,1000.0,0.0,",",go,"[',']",1,,,,,
10,,html-keyboard-response,10,12510,0.0-2.0-7.0,,<div class = center-box><divp class = center-text>Correct!</div></div>,,practice_feedback,500.0,,,,,,,,,,,,,
11,,html-keyboard-response,11,13117,0.0-2.0-8.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_ITI,601.1883628305543,,practice,601.1883628305543,0.0,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
12,,html-keyboard-response,12,13620,0.0-2.0-9.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_fixation,500.0,,practice,500.0,0.0,,,,,,,,,
13,,html-keyboard-response,13,15127,0.0-2.0-10.0,380.0,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><div  id = stim1></div></div></div></div></div>,",",practice_trial,1500.0,,practice,1000.0,0.0,",",go,"[',']",1,,,,,
